------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4102  |     0.7334  |   0.6871  |               |              0.5058  |
|          |      1  |      1.2656  |     0.8086  |   0.6603  |               |              0.9156  |
|          |      2  |      1.2168  |     0.8223  |   0.8041  |               |              1.3277  |
|          |      3  |      1.1484  |     0.8496  |   0.8359  |               |              1.7041  |
|          |      4  |      1.1396  |     0.8711  |   0.8460  |               |              2.0828  |
|          |      5  |      1.0811  |     0.8994  |   0.8756  |               |              2.4597  |
|          |      6  |      1.0596  |     0.9072  |   0.8740  |               |              2.8364  |
|          |      7  |      1.0293  |     0.9326  |   0.8804  |               |              3.2155  |
|          |      8  |      0.9775  |     0.9541  |   0.9196  |               |              3.5937  |
|          |      9  |      0.9351  |     0.9785  |   0.9335  |               |              3.9426  |
|          |   eval  |      0.9351  |     0.9785  |   0.9335  |       0.9415  |              4.1107  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4609  |     0.6943  |   0.5974  |               |              0.4130  |
|          |      1  |      1.2568  |     0.8145  |   0.6799  |               |              0.8231  |
|          |      2  |      1.2021  |     0.8291  |   0.6725  |               |              1.2362  |
|          |      3  |      1.1758  |     0.8506  |   0.8114  |               |              1.6139  |
|          |      4  |      1.1162  |     0.8896  |   0.8304  |               |              1.9935  |
|          |      5  |      1.1084  |     0.8848  |   0.8556  |               |              2.3714  |
|          |      6  |      1.0537  |     0.9043  |   0.8835  |               |              2.7492  |
|          |      7  |      1.0283  |     0.9316  |   0.9046  |               |              3.1288  |
|          |      8  |      0.9668  |     0.9619  |   0.9255  |               |              3.5053  |
|          |      9  |      0.9341  |     0.9844  |   0.9339  |               |              3.8523  |
|          |   eval  |      0.9341  |     0.9844  |   0.9339  |       0.9393  |              4.0209  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4453  |     0.6992  |   0.6451  |               |              0.5023  |
|          |      1  |      1.2754  |     0.7920  |   0.6004  |               |              0.9129  |
|          |      2  |      1.1855  |     0.8486  |   0.7846  |               |              1.3261  |
|          |      3  |      1.1406  |     0.8711  |   0.7146  |               |              1.7044  |
|          |      4  |      1.1436  |     0.8574  |   0.8164  |               |              2.0843  |
|          |      5  |      1.0977  |     0.8906  |   0.8194  |               |              2.4626  |
|          |      6  |      1.0469  |     0.9199  |   0.8762  |               |              2.8413  |
|          |      7  |      1.0205  |     0.9355  |   0.9009  |               |              3.2190  |
|          |      8  |      0.9741  |     0.9561  |   0.9259  |               |              3.5963  |
|          |      9  |      0.9468  |     0.9736  |   0.9342  |               |              3.9447  |
|          |   eval  |      0.9468  |     0.9736  |   0.9342  |       0.9428  |              4.1133  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4053  |     0.7139  |   0.6455  |               |              0.4155  |
|          |      1  |      1.2607  |     0.8008  |   0.6651  |               |              0.8256  |
|          |      2  |      1.2236  |     0.8164  |   0.7076  |               |              1.2394  |
|          |      3  |      1.1416  |     0.8779  |   0.7638  |               |              1.6184  |
|          |      4  |      1.1377  |     0.8701  |   0.8573  |               |              1.9970  |
|          |      5  |      1.0830  |     0.8945  |   0.8548  |               |              2.3761  |
|          |      6  |      1.0508  |     0.9160  |   0.8985  |               |              2.7542  |
|          |      7  |      1.0361  |     0.9258  |   0.9018  |               |              3.1328  |
|          |      8  |      0.9814  |     0.9492  |   0.9242  |               |              3.5103  |
|          |      9  |      0.9448  |     0.9766  |   0.9333  |               |              3.8590  |
|          |   eval  |      0.9448  |     0.9766  |   0.9333  |       0.9401  |              4.0281  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4355  |     0.6924  |   0.6622  |               |              0.4141  |
|          |      1  |      1.2832  |     0.7959  |   0.7765  |               |              0.8254  |
|          |      2  |      1.2129  |     0.8350  |   0.8131  |               |              1.2384  |
