Running CIFAR-10 AirBench with translate = 4
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4941  |     0.6748  |   0.5955  |               |              7.7909  |
|          |      1  |      1.2910  |     0.7812  |   0.6262  |               |              8.2046  |
|          |      2  |      1.2188  |     0.8359  |   0.7848  |               |              8.6177  |
|          |      3  |      1.1895  |     0.8477  |   0.7973  |               |              9.0000  |
|          |      4  |      1.1621  |     0.8506  |   0.8279  |               |              9.3811  |
|          |      5  |      1.1055  |     0.8838  |   0.8592  |               |              9.7622  |
|          |      6  |      1.0752  |     0.9043  |   0.8959  |               |             10.1437  |
|          |      7  |      1.0381  |     0.9160  |   0.8931  |               |             10.5251  |
|          |      8  |      0.9883  |     0.9473  |   0.9205  |               |             10.9063  |
|          |      9  |      0.9541  |     0.9697  |   0.9342  |               |             11.2567  |
|          |   eval  |      0.9541  |     0.9697  |   0.9342  |       0.9402  |             11.4247  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4043  |     0.7217  |   0.6249  |               |              0.5077  |
|          |      1  |      1.3438  |     0.7715  |   0.6330  |               |              0.9220  |
|          |      2  |      1.2021  |     0.8525  |   0.7567  |               |              1.3361  |
|          |      3  |      1.1738  |     0.8555  |   0.8479  |               |              1.7185  |
|          |      4  |      1.1484  |     0.8613  |   0.8499  |               |              2.0998  |
|          |      5  |      1.1123  |     0.8740  |   0.8440  |               |              2.4814  |
|          |      6  |      1.0400  |     0.9277  |   0.8907  |               |              2.8622  |
|          |      7  |      1.0303  |     0.9258  |   0.8929  |               |              3.2443  |
|          |      8  |      1.0010  |     0.9395  |   0.9172  |               |              3.6243  |
|          |      9  |      0.9570  |     0.9717  |   0.9313  |               |              3.9756  |
|          |   eval  |      0.9570  |     0.9717  |   0.9313  |       0.9396  |              4.1439  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4658  |     0.6709  |   0.6565  |               |              0.5023  |
|          |      1  |      1.2871  |     0.7979  |   0.7803  |               |              0.9156  |
|          |      2  |      1.1885  |     0.8496  |   0.8279  |               |              1.3303  |
|          |      3  |      1.1943  |     0.8428  |   0.8255  |               |              1.7125  |
|          |      4  |      1.1406  |     0.8691  |   0.8341  |               |              2.0931  |
|          |      5  |      1.1240  |     0.8779  |   0.8509  |               |              2.4744  |
|          |      6  |      1.0596  |     0.9170  |   0.8864  |               |              2.8561  |
|          |      7  |      1.0488  |     0.9150  |   0.8941  |               |              3.2369  |
|          |      8  |      0.9858  |     0.9580  |   0.9194  |               |              3.6183  |
|          |      9  |      0.9639  |     0.9648  |   0.9301  |               |              3.9694  |
|          |   eval  |      0.9639  |     0.9648  |   0.9301  |       0.9409  |              4.1375  |
------------------------------------------------------------------------------------------------------
