Running CIFAR-10 AirBench with translate = 4
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4795  |     0.6631  |   0.6669  |               |              7.6991  |
|          |      1  |      1.2910  |     0.8008  |   0.7549  |               |              8.1100  |
|          |      2  |      1.1865  |     0.8389  |   0.7975  |               |              8.5241  |
|          |      3  |      1.1875  |     0.8389  |   0.8315  |               |              8.9062  |
|          |      4  |      1.1494  |     0.8682  |   0.8350  |               |              9.2849  |
|          |      5  |      1.0850  |     0.8994  |   0.8660  |               |              9.6669  |
|          |      6  |      1.0723  |     0.9082  |   0.8987  |               |             10.0481  |
|          |      7  |      1.0449  |     0.9150  |   0.8996  |               |             10.4293  |
|          |      8  |      0.9917  |     0.9512  |   0.9261  |               |             10.8093  |
|          |      9  |      0.9707  |     0.9668  |   0.9330  |               |             11.1599  |
|          |   eval  |      0.9707  |     0.9668  |   0.9330  |       0.9436  |             11.3289  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4492  |     0.6992  |   0.6639  |               |              0.5106  |
|          |      1  |      1.3398  |     0.7715  |   0.7310  |               |              0.9244  |
|          |      2  |      1.2402  |     0.8076  |   0.7846  |               |              1.3384  |
|          |      3  |      1.1787  |     0.8486  |   0.8088  |               |              1.7196  |
|          |      4  |      1.1504  |     0.8574  |   0.8483  |               |              2.1006  |
|          |      5  |      1.1240  |     0.8877  |   0.8706  |               |              2.4824  |
|          |      6  |      1.0811  |     0.9033  |   0.8497  |               |              2.8633  |
|          |      7  |      1.0361  |     0.9258  |   0.8953  |               |              3.2441  |
|          |      8  |      0.9917  |     0.9512  |   0.9178  |               |              3.6251  |
|          |      9  |      0.9624  |     0.9639  |   0.9324  |               |              3.9765  |
|          |   eval  |      0.9624  |     0.9639  |   0.9324  |       0.9392  |              4.1447  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4639  |     0.6914  |   0.6511  |               |              0.4155  |
|          |      1  |      1.2637  |     0.8047  |   0.7440  |               |              0.8292  |
|          |      2  |      1.1934  |     0.8428  |   0.8202  |               |              1.2447  |
|          |      3  |      1.1748  |     0.8564  |   0.7897  |               |              1.6259  |
|          |      4  |      1.1572  |     0.8613  |   0.8608  |               |              2.0075  |
|          |      5  |      1.1133  |     0.8867  |   0.7778  |               |              2.3875  |
|          |      6  |      1.0615  |     0.9141  |   0.8712  |               |              2.7684  |
|          |      7  |      1.0264  |     0.9336  |   0.9012  |               |              3.1501  |
|          |      8  |      0.9907  |     0.9502  |   0.9122  |               |              3.5330  |
|          |      9  |      0.9609  |     0.9697  |   0.9325  |               |              3.8836  |
|          |   eval  |      0.9609  |     0.9697  |   0.9325  |       0.9396  |              4.0520  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4707  |     0.6904  |   0.6592  |               |              0.4180  |
|          |      1  |      1.2734  |     0.7900  |   0.7150  |               |              0.8338  |
|          |      2  |      1.2803  |     0.7783  |   0.6884  |               |              1.2491  |
|          |      3  |      1.2021  |     0.8340  |   0.8148  |               |              1.6319  |
|          |      4  |      1.1602  |     0.8545  |   0.8465  |               |              2.0123  |
|          |      5  |      1.0781  |     0.9062  |   0.8637  |               |              2.3934  |
|          |      6  |      1.0713  |     0.9072  |   0.8805  |               |              2.7748  |
|          |      7  |      1.0352  |     0.9248  |   0.8929  |               |              3.1572  |
|          |      8  |      0.9878  |     0.9502  |   0.9165  |               |              3.5384  |
|          |      9  |      0.9668  |     0.9639  |   0.9274  |               |              3.8889  |
|          |   eval  |      0.9668  |     0.9639  |   0.9274  |       0.9380  |              4.0570  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.5039  |     0.6582  |   0.6413  |               |              0.5018  |
|          |      1  |      1.3047  |     0.7695  |   0.5806  |               |              0.9162  |
|          |      2  |      1.2354  |     0.8105  |   0.7855  |               |              1.3307  |
