Running CIFAR-10 AirBench with translate = 0
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4004  |     0.7266  |   0.6240  |               |              7.8927  |
|          |      1  |      1.2842  |     0.7949  |   0.7571  |               |              8.2883  |
|          |      2  |      1.1738  |     0.8652  |   0.8402  |               |              8.6844  |
|          |      3  |      1.1201  |     0.8857  |   0.7351  |               |              9.0602  |
|          |      4  |      1.1074  |     0.8936  |   0.8418  |               |              9.4323  |
|          |      5  |      1.0762  |     0.8994  |   0.8305  |               |              9.8062  |
|          |      6  |      1.0166  |     0.9375  |   0.8824  |               |             10.1792  |
|          |      7  |      0.9922  |     0.9492  |   0.8767  |               |             10.5526  |
|          |      8  |      0.9214  |     0.9883  |   0.9199  |               |             10.9256  |
|          |      9  |      0.9019  |     0.9951  |   0.9268  |               |             11.2680  |
|          |   eval  |      0.9019  |     0.9951  |   0.9268  |       0.9345  |             11.4363  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.3916  |     0.7363  |   0.7053  |               |              0.4835  |
|          |      1  |      1.2891  |     0.7891  |   0.7724  |               |              0.8818  |
|          |      2  |      1.1709  |     0.8438  |   0.8302  |               |              1.2818  |
|          |      3  |      1.1338  |     0.8760  |   0.8067  |               |              1.6564  |
|          |      4  |      1.1318  |     0.8770  |   0.8728  |               |              2.0288  |
|          |      5  |      1.0605  |     0.9199  |   0.8603  |               |              2.4025  |
|          |      6  |      1.0156  |     0.9297  |   0.8854  |               |              2.7768  |
|          |      7  |      0.9824  |     0.9629  |   0.9027  |               |              3.1503  |
|          |      8  |      0.9214  |     0.9922  |   0.9243  |               |              3.5241  |
|          |      9  |      0.8979  |     0.9990  |   0.9308  |               |              3.8680  |
|          |   eval  |      0.8979  |     0.9990  |   0.9308  |       0.9371  |              4.0358  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.3896  |     0.7461  |   0.7042  |               |              0.4840  |
|          |      1  |      1.2363  |     0.8223  |   0.7448  |               |              0.8827  |
|          |      2  |      1.1895  |     0.8271  |   0.7589  |               |              1.2817  |
|          |      3  |      1.1123  |     0.8887  |   0.8137  |               |              1.6561  |
|          |      4  |      1.1201  |     0.8750  |   0.8608  |               |              2.0297  |
|          |      5  |      1.0742  |     0.8906  |   0.8693  |               |              2.4041  |
|          |      6  |      1.0205  |     0.9336  |   0.8807  |               |              2.7769  |
|          |      7  |      0.9917  |     0.9541  |   0.8986  |               |              3.1511  |
|          |      8  |      0.9277  |     0.9863  |   0.9200  |               |              3.5243  |
