------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4287  |     0.7217  |   0.6951  |               |              7.8441  |
|          |      1  |      1.2578  |     0.7988  |   0.7719  |               |              8.2518  |
|          |      2  |      1.1953  |     0.8535  |   0.8083  |               |              8.6616  |
|          |      3  |      1.1797  |     0.8506  |   0.8120  |               |              9.0425  |
|          |      4  |      1.1328  |     0.8770  |   0.8260  |               |              9.4199  |
|          |      5  |      1.0820  |     0.9033  |   0.8590  |               |              9.7996  |
|          |      6  |      1.0469  |     0.9238  |   0.8868  |               |             10.1762  |
|          |      7  |      1.0156  |     0.9355  |   0.9067  |               |             10.5544  |
|          |      8  |      0.9731  |     0.9561  |   0.9237  |               |             10.9327  |
|          |      9  |      0.9375  |     0.9795  |   0.9344  |               |             11.2798  |
|          |   eval  |      0.9375  |     0.9795  |   0.9344  |       0.9406  |             11.4487  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4170  |     0.7207  |   0.6799  |               |              0.4141  |
|          |      1  |      1.2998  |     0.7842  |   0.6816  |               |              0.8243  |
|          |      2  |      1.1885  |     0.8525  |   0.8207  |               |              1.2370  |
|          |      3  |      1.1621  |     0.8672  |   0.8278  |               |              1.6146  |
|          |      4  |      1.1357  |     0.8672  |   0.8320  |               |              1.9934  |
|          |      5  |      1.0986  |     0.8877  |   0.8562  |               |              2.3713  |
|          |      6  |      1.0371  |     0.9268  |   0.8952  |               |              2.7492  |
|          |      7  |      1.0156  |     0.9385  |   0.9005  |               |              3.1287  |
|          |      8  |      0.9814  |     0.9570  |   0.9132  |               |              3.5073  |
|          |      9  |      0.9487  |     0.9727  |   0.9310  |               |              3.8559  |
|          |   eval  |      0.9487  |     0.9727  |   0.9310  |       0.9381  |              4.0241  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4443  |     0.6924  |   0.6740  |               |              0.4132  |
|          |      1  |      1.2578  |     0.8115  |   0.7918  |               |              0.8261  |
|          |      2  |      1.1982  |     0.8379  |   0.7748  |               |              1.2390  |
|          |      3  |      1.1348  |     0.8740  |   0.8289  |               |              1.6198  |
|          |      4  |      1.1211  |     0.8877  |   0.8614  |               |              1.9978  |
|          |      5  |      1.0967  |     0.9023  |   0.8660  |               |              2.3785  |
|          |      6  |      1.0586  |     0.9141  |   0.8937  |               |              2.7571  |
|          |      7  |      1.0410  |     0.9189  |   0.8940  |               |              3.1361  |
|          |      8  |      0.9678  |     0.9600  |   0.9257  |               |              3.5137  |
|          |      9  |      0.9399  |     0.9805  |   0.9329  |               |              3.8623  |
|          |   eval  |      0.9399  |     0.9805  |   0.9329  |       0.9393  |              4.0315  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4844  |     0.6963  |   0.6780  |               |              0.4998  |
|          |      1  |      1.2979  |     0.7725  |   0.6903  |               |              0.9116  |
|          |      2  |      1.2373  |     0.8154  |   0.7846  |               |              1.3246  |
|          |      3  |      1.1738  |     0.8545  |   0.8313  |               |              1.7032  |
|          |      4  |      1.1318  |     0.8721  |   0.8535  |               |              2.0823  |
|          |      5  |      1.1025  |     0.8828  |   0.8752  |               |              2.4617  |
|          |      6  |      1.0459  |     0.9170  |   0.8895  |               |              2.8411  |
|          |      7  |      1.0244  |     0.9346  |   0.8880  |               |              3.2200  |
|          |      8  |      0.9766  |     0.9639  |   0.9178  |               |              3.5999  |
|          |      9  |      0.9438  |     0.9756  |   0.9325  |               |              3.9497  |
|          |   eval  |      0.9438  |     0.9756  |   0.9325  |       0.9400  |              4.1175  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4141  |     0.6973  |   0.6591  |               |              0.4152  |
|          |      1  |      1.3184  |     0.7676  |   0.6900  |               |              0.8272  |
|          |      2  |      1.1992  |     0.8428  |   0.8034  |               |              1.2421  |
|          |      3  |      1.1650  |     0.8525  |   0.8346  |               |              1.6220  |
|          |      4  |      1.1299  |     0.8809  |   0.8345  |               |              2.0025  |
|          |      5  |      1.0850  |     0.9014  |   0.7725  |               |              2.3810  |
|          |      6  |      1.0488  |     0.9199  |   0.8929  |               |              2.7609  |
|          |      7  |      1.0098  |     0.9365  |   0.9072  |               |              3.1401  |
|          |      8  |      0.9849  |     0.9521  |   0.9239  |               |              3.5214  |
|          |      9  |      0.9448  |     0.9775  |   0.9319  |               |              3.8703  |
|          |   eval  |      0.9448  |     0.9775  |   0.9319  |       0.9396  |              4.0385  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4189  |     0.7119  |   0.7132  |               |              0.4164  |
|          |      1  |      1.2480  |     0.7949  |   0.7495  |               |              0.8290  |
|          |      2  |      1.1904  |     0.8486  |   0.7377  |               |              1.2426  |
|          |      3  |      1.1553  |     0.8604  |   0.8013  |               |              1.6228  |
|          |      4  |      1.1211  |     0.8838  |   0.8698  |               |              2.0021  |
|          |      5  |      1.0947  |     0.8848  |   0.8444  |               |              2.3813  |
|          |      6  |      1.0215  |     0.9248  |   0.8943  |               |              2.7602  |
|          |      7  |      1.0205  |     0.9365  |   0.9006  |               |              3.1396  |
|          |      8  |      0.9790  |     0.9590  |   0.9256  |               |              3.5192  |
