------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4229  |     0.7051  |   0.6460  |               |              7.5504  |
|          |      1  |      1.2920  |     0.7930  |   0.7489  |               |              7.9590  |
|          |      2  |      1.2295  |     0.8184  |   0.7127  |               |              8.3713  |
|          |      3  |      1.1836  |     0.8369  |   0.7523  |               |              8.7513  |
|          |      4  |      1.1387  |     0.8838  |   0.8444  |               |              9.1310  |
|          |      5  |      1.0840  |     0.8994  |   0.8670  |               |              9.5109  |
|          |      6  |      1.0547  |     0.9150  |   0.8911  |               |              9.8897  |
|          |      7  |      1.0361  |     0.9199  |   0.9031  |               |             10.2692  |
|          |      8  |      0.9658  |     0.9658  |   0.9171  |               |             10.6482  |
|          |      9  |      0.9404  |     0.9756  |   0.9317  |               |             10.9965  |
|          |   eval  |      0.9404  |     0.9756  |   0.9317  |       0.9378  |             11.1648  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4453  |     0.6836  |   0.6715  |               |              0.5044  |
|          |      1  |      1.2656  |     0.8037  |   0.7720  |               |              0.9173  |
|          |      2  |      1.1982  |     0.8311  |   0.7737  |               |              1.3310  |
|          |      3  |      1.1738  |     0.8438  |   0.7031  |               |              1.7110  |
|          |      4  |      1.1367  |     0.8711  |   0.8330  |               |              2.0906  |
|          |      5  |      1.0762  |     0.9014  |   0.8352  |               |              2.4716  |
|          |      6  |      1.0400  |     0.9248  |   0.8848  |               |              2.8504  |
|          |      7  |      1.0127  |     0.9434  |   0.9093  |               |              3.2300  |
|          |      8  |      0.9766  |     0.9561  |   0.9243  |               |              3.6096  |
|          |      9  |      0.9458  |     0.9805  |   0.9334  |               |              3.9583  |
|          |   eval  |      0.9458  |     0.9805  |   0.9334  |       0.9405  |              4.1263  |
------------------------------------------------------------------------------------------------------
