Running CIFAR-10 AirBench with translate = 4
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4512  |     0.7139  |   0.6764  |               |              7.7576  |
|          |      1  |      1.2549  |     0.8213  |   0.7621  |               |              8.1628  |
|          |      2  |      1.2510  |     0.7949  |   0.7287  |               |              8.5707  |
|          |      3  |      1.1689  |     0.8574  |   0.8002  |               |              8.9474  |
|          |      4  |      1.1348  |     0.8701  |   0.8665  |               |              9.3223  |
|          |      5  |      1.1299  |     0.8789  |   0.8738  |               |              9.6988  |
|          |      6  |      1.0605  |     0.9062  |   0.8869  |               |             10.0742  |
|          |      7  |      1.0400  |     0.9346  |   0.8962  |               |             10.4501  |
|          |      8  |      0.9824  |     0.9561  |   0.9129  |               |             10.8248  |
|          |      9  |      0.9492  |     0.9688  |   0.9312  |               |             11.1717  |
|          |   eval  |      0.9492  |     0.9688  |   0.9312  |       0.9387  |             11.3385  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4717  |     0.6895  |   0.6896  |               |              0.4126  |
|          |      1  |      1.3271  |     0.7617  |   0.6820  |               |              0.8203  |
|          |      2  |      1.2324  |     0.8184  |   0.7637  |               |              1.2300  |
|          |      3  |      1.2168  |     0.8359  |   0.8198  |               |              1.6059  |
|          |      4  |      1.1543  |     0.8564  |   0.8455  |               |              1.9831  |
|          |      5  |      1.1094  |     0.8877  |   0.8038  |               |              2.3588  |
|          |      6  |      1.0752  |     0.8916  |   0.8745  |               |              2.7343  |
|          |      7  |      1.0439  |     0.9248  |   0.9024  |               |              3.1107  |
|          |      8  |      0.9946  |     0.9463  |   0.9152  |               |              3.4858  |
|          |      9  |      0.9531  |     0.9727  |   0.9308  |               |              3.8332  |
|          |   eval  |      0.9531  |     0.9727  |   0.9308  |       0.9399  |              4.0003  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4385  |     0.7012  |   0.6333  |               |              0.4119  |
|          |      1  |      1.3125  |     0.7715  |   0.7683  |               |              0.8204  |
|          |      2  |      1.2139  |     0.8350  |   0.7743  |               |              1.2323  |
|          |      3  |      1.1826  |     0.8486  |   0.7159  |               |              1.6084  |
|          |      4  |      1.1562  |     0.8652  |   0.7948  |               |              1.9860  |
|          |      5  |      1.1025  |     0.8906  |   0.8627  |               |              2.3622  |
|          |      6  |      1.0586  |     0.9082  |   0.8898  |               |              2.7382  |
|          |      7  |      1.0205  |     0.9346  |   0.8856  |               |              3.1157  |
|          |      8  |      0.9927  |     0.9375  |   0.9212  |               |              3.4918  |
|          |      9  |      0.9585  |     0.9746  |   0.9307  |               |              3.8391  |
|          |   eval  |      0.9585  |     0.9746  |   0.9307  |       0.9394  |              4.0067  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4912  |     0.6582  |   0.6557  |               |              0.4131  |
|          |      1  |      1.2793  |     0.8037  |   0.6420  |               |              0.8228  |
|          |      2  |      1.2383  |     0.8350  |   0.7717  |               |              1.2338  |
|          |      3  |      1.1631  |     0.8516  |   0.8411  |               |              1.6113  |
