Running CIFAR-10 AirBench with translate = 0
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4453  |     0.6846  |   0.6977  |               |              0.3990  |
|          |      1  |      1.2500  |     0.8086  |   0.7605  |               |              0.7987  |
|          |      2  |      1.1670  |     0.8506  |   0.8309  |               |              1.1985  |
|          |      3  |      1.1445  |     0.8750  |   0.8098  |               |              1.5733  |
|          |      4  |      1.1104  |     0.8887  |   0.8526  |               |              1.9468  |
|          |      5  |      1.0898  |     0.8965  |   0.8667  |               |              2.3211  |
|          |      6  |      1.0254  |     0.9316  |   0.8910  |               |              2.6950  |
|          |      7  |      0.9702  |     0.9697  |   0.9033  |               |              3.0692  |
|          |      8  |      0.9238  |     0.9883  |   0.9144  |               |              3.4436  |
|          |      9  |      0.8999  |     0.9971  |   0.9245  |               |              3.7878  |
|          |   eval  |      0.8999  |     0.9971  |   0.9245  |       0.9348  |              3.9557  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4082  |     0.7061  |   0.6467  |               |              0.3984  |
|          |      1  |      1.2695  |     0.8096  |   0.7861  |               |              0.7977  |
|          |      2  |      1.1865  |     0.8389  |   0.7674  |               |              1.1978  |
|          |      3  |      1.1475  |     0.8604  |   0.8106  |               |              1.5724  |
|          |      4  |      1.1035  |     0.8906  |   0.8603  |               |              1.9464  |
|          |      5  |      1.0439  |     0.9277  |   0.8591  |               |              2.3209  |
|          |      6  |      1.0293  |     0.9268  |   0.8859  |               |              2.6951  |
|          |      7  |      0.9893  |     0.9561  |   0.8986  |               |              3.0699  |
|          |      8  |      0.9263  |     0.9873  |   0.9207  |               |              3.4440  |
|          |      9  |      0.8979  |     0.9980  |   0.9267  |               |              3.7873  |
|          |   eval  |      0.8979  |     0.9980  |   0.9267  |       0.9365  |              3.9556  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4258  |     0.7021  |   0.6008  |               |              0.4875  |
|          |      1  |      1.2695  |     0.8057  |   0.7258  |               |              0.8874  |
|          |      2  |      1.1865  |     0.8477  |   0.7883  |               |              1.2868  |
|          |      3  |      1.1279  |     0.8789  |   0.7767  |               |              1.6614  |
|          |      4  |      1.1133  |     0.8867  |   0.8500  |               |              2.0362  |
|          |      5  |      1.0703  |     0.9150  |   0.8571  |               |              2.4110  |
|          |      6  |      1.0225  |     0.9365  |   0.8734  |               |              2.7850  |
|          |      7  |      0.9863  |     0.9561  |   0.8968  |               |              3.1604  |
|          |      8  |      0.9321  |     0.9814  |   0.9230  |               |              3.5338  |
|          |      9  |      0.9014  |     0.9961  |   0.9267  |               |              3.8787  |
|          |   eval  |      0.9014  |     0.9961  |   0.9267  |       0.9366  |              4.0475  |
