Running CIFAR-10 AirBench with translate = 0
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4160  |     0.7227  |   0.6787  |               |              7.4469  |
|          |      1  |      1.2666  |     0.8066  |   0.7408  |               |              7.8383  |
|          |      2  |      1.1953  |     0.8438  |   0.7791  |               |              8.2301  |
|          |      3  |      1.1562  |     0.8613  |   0.7926  |               |              8.6009  |
|          |      4  |      1.1104  |     0.8975  |   0.8685  |               |              8.9683  |
|          |      5  |      1.0635  |     0.9092  |   0.8436  |               |              9.3388  |
|          |      6  |      1.0029  |     0.9512  |   0.8856  |               |              9.7075  |
|          |      7  |      0.9644  |     0.9736  |   0.9043  |               |             10.0766  |
|          |      8  |      0.9297  |     0.9834  |   0.9217  |               |             10.4460  |
|          |      9  |      0.8950  |     0.9990  |   0.9285  |               |             10.7848  |
|          |   eval  |      0.8950  |     0.9990  |   0.9285  |       0.9351  |             10.9515  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4355  |     0.7070  |   0.7003  |               |              0.4823  |
|          |      1  |      1.2275  |     0.8369  |   0.7354  |               |              0.8763  |
|          |      2  |      1.2168  |     0.8311  |   0.8061  |               |              1.2724  |
|          |      3  |      1.1396  |     0.8682  |   0.8267  |               |              1.6423  |
|          |      4  |      1.1006  |     0.8828  |   0.8463  |               |              2.0123  |
|          |      5  |      1.1084  |     0.8877  |   0.8558  |               |              2.3816  |
|          |      6  |      0.9980  |     0.9473  |   0.8648  |               |              2.7512  |
|          |      7  |      0.9746  |     0.9619  |   0.9019  |               |              3.1219  |
|          |      8  |      0.9219  |     0.9883  |   0.9228  |               |              3.4907  |
|          |      9  |      0.8979  |     0.9980  |   0.9300  |               |              3.8312  |
|          |   eval  |      0.8979  |     0.9980  |   0.9300  |       0.9374  |              3.9983  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4004  |     0.7139  |   0.6732  |               |              0.4831  |
|          |      1  |      1.2734  |     0.8066  |   0.6955  |               |              0.8779  |
|          |      2  |      1.1963  |     0.8330  |   0.7667  |               |              1.2767  |
|          |      3  |      1.1123  |     0.8877  |   0.8583  |               |              1.6472  |
|          |      4  |      1.1064  |     0.8867  |   0.8626  |               |              2.0180  |
|          |      5  |      1.0820  |     0.8994  |   0.8678  |               |              2.3881  |
|          |      6  |      1.0117  |     0.9385  |   0.8885  |               |              2.7583  |
|          |      7  |      0.9707  |     0.9648  |   0.9045  |               |              3.1296  |
|          |      8  |      0.9263  |     0.9873  |   0.9210  |               |              3.5006  |
|          |      9  |      0.8994  |     0.9971  |   0.9271  |               |              3.8406  |
|          |   eval  |      0.8994  |     0.9971  |   0.9271  |       0.9374  |              4.0080  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4551  |     0.6982  |   0.6924  |               |              0.3950  |
|          |      1  |      1.2441  |     0.8184  |   0.7442  |               |              0.7905  |
